faj	kormeret	telepules	megyeid	meres
közönséges bükk	420	Bükkszentkereszt	4	2007
kocsányos tölgy	527	Őcsény	16	2010
közönséges bükk	423	Vásárosbéc	2	2009
közönséges bükk	470	Herend	18	2008
kocsányos tölgy	603	Belezna	19	2002
közönséges bükk	407	Eszteregnye	19	2010
magas kőris	595	Csobád	4	2007
kocsányos tölgy	657	Hetényegyháza	1	2003
közönséges bükk	403	Sikonda	2	2008
hárs	474	Szeleste	17	2003
fekete nyár	760	Tahitótfalu	13	2011
kocsányos tölgy	530	Kerkafalva	19	2004
fehér nyár	654	Fenékpuszta	19	2010
közönséges bükk	415	Pénzesgyőr	18	2009
kocsányos tölgy	503	Túristvándi	15	2009
kocsányos tölgy	553	Kálócfa	19	2004
közönséges bükk	439	Monostorapáti	18	2009
szelídgesztenye	694	Bak	19	2009
házi berkenye	258	Zengővárkony	2	2011
hegyi szil	430	Fenékpuszta	19	2009
tulipánfa	415	Somogytarnóca	14	2010
közönséges bükk	477	Pénzesgyőr	18	2006
mocsárciprus	516	Martonvásár	6	2003
közönséges bükk	421	Sikonda	2	2008
csertölgy	554	Nagyrécse	19	2004
ostorfa	362	Mezőhegyes	3	2010
juharlevelű platán	737	Eger	9	2004
közönséges bükk	402	Háromkő	9	2007
közönséges bükk	616	Monostorapáti	18	2008
közönséges bükk	476	Eszteregnye	19	2010
közönséges bükk	482	Felsőmarác	17	2007
hárs	438	Zirc	18	2004
fehér eper	482	Pilisvörösvár	13	2011
ginkgo	435	Iharos	14	2007
közönséges bükk	434	Olaszfalu	18	2010
vadcseresznye	415	Olaszfalu	18	2010
kocsányos tölgy	500	Golop	4	2009
közönséges bükk	400	Püspökszentlászló	2	2011
fehér nyár	602	Algyő	5	2002
mezei szil	475	Kisgörbő	19	2009
közönséges bükk	476	Monostorapáti	18	2008
közönséges bükk	507	Monostorapáti	18	2008
kocsányos tölgy	529	Lad	14	2005
közönséges bükk	476	Tátika	19	2004
közönséges bükk	439	Püspökszentlászló	2	2011
közönséges bükk	471	Olaszfalu	18	2010
ostorfa	344	Kajdacs	16	2009
közönséges bükk	445	Sikonda	2	2008
kocsányos tölgy	589	Parádfürdő	9	2004
magyar kőris	670	Lad	14	2009
fekete nyár	853	Rákóczifalva	10	2011
fűz	709	Gemenc	1	2010
közönséges bükk	406	Pénzesgyőr	18	2010
fekete nyár	685	Gemenc	16	2003
közönséges bükk	430	Hárskút	18	2010
kocsányos tölgy	510	Sárvár	17	2003
közönséges bükk	503	Olaszfalu	18	2010
csertölgy	534	Somogytúr	14	2009
fekete nyár	699	Szekszárd	16	2009
fekete nyár	635	Sárvár	17	2007
kocsányos tölgy	624	Csokonyavisonta	14	2003
közönséges bükk	435	Bükkszentkereszt	4	2007
hegyi juhar	376	Kőszeg	17	2009
közönséges bükk	446	Monostorapáti	18	2008
közönséges bükk	432	Bükkszentkereszt	4	2007
kocsányos tölgy	581	Mátraverebély	12	2003
óriás mamutfenyő	663	Iharosberény	14	2007
fekete nyár	620	Nyergesújfalu	11	2006
közönséges bükk	436	Olaszfalu	18	2010
kocsányos tölgy	613	Bak	19	2003
fekete nyár	662	Karapancsa	1	2009
kocsányos tölgy	606	Dénesfa	7	2003
kocsányos tölgy	557	Kerkafalva	19	2004
közönséges bükk	472	Lókút	18	2010
korai juhar	515	Alsóhídvégpuszta	16	2009
szelídgesztenye	551	Babócsa	14	2005
hárs	400	Bak	19	2004
gyertyán	367	Vöröstó	18	2009
fekete nyár	622	Hódmezővásárhely	5	2007
kocsányos tölgy	509	Bogyiszló	16	2007
mocsárciprus	435	Devecser	18	2010
kocsányos tölgy	574	Somogytarnóca	14	2011
kocsányos tölgy	652	Péterhida	14	2003
közönséges bükk	447	Sárszentmihály	6	2007
kocsányos tölgy	585	Bácsborsód	1	2006
kocsányos tölgy	525	Bóly	2	2003
közönséges bükk	485	Püspökszentlászló	2	2005
hárs	458	Füzérradvány	4	2004
kislevelű hárs	561	Monostorapáti	18	2008
kocsányos tölgy	680	Drávasztára	2	2002
kocsányos tölgy	501	Letenye	19	2011
közönséges bükk	491	Pénzesgyőr	18	2009
kocsányos tölgy	571	Óföldeák	5	2010
kocsányos tölgy	596	Noszvaj	9	2008
kocsányos tölgy	562	Vátyonpuszta	3	2002
kocsányos tölgy	532	Sárvár	17	2005
kislevelű hárs	491	Zirc	18	2009
kocsánytalan tölgy	538	Sikonda	2	2008
közönséges bükk	473	Püspökszentlászló	2	2011
szelídgesztenye	570	Iharosberény	14	2004
közönséges bükk	403	Bükkszentkereszt	4	2007
fehér akác	358	Tardos	11	2010
kocsányos tölgy	600	Somogytúr	14	2009
közönséges bükk	400	Sikonda	2	2008
közönséges bükk	419	Magyarlukafa	2	2009
ginkgo	527	Acsád	17	2006
juharlevelű platán	635	Fót	13	2008
fekete nyár	642	Szekszárd	16	2009
zöld juhar	352	Gemenc	16	2009
csertölgy	558	Kaposvár	14	2008
közönséges bükk	415	Bükkszentkereszt	4	2007
gyertyán	362	Hárskút	18	2010
közönséges bükk	574	Lillafüred	4	2009
kocsányos tölgy	507	Lepsény	6	2008
kocsányos tölgy	528	Iklódbördőce	19	2004
fehér fűz	689	Drégelypalánk	12	2008
kocsányos tölgy	502	Tápióság	13	2011
kocsányos tölgy	514	Dénesfa	7	2003
juharlevelű platán	600	Cégénydányád	15	2003
szelídgesztenye	515	Egervár	19	2011
kocsányos tölgy	611	Mike	14	2005
kocsányos tölgy	564	Pacsérvisnye	14	2010
közönséges bükk	430	Bánkút	4	2009
juharlevelű platán	660	Pápa	18	2004
fekete nyár	735	Szegvár	5	2007
tulipánfa	552	Csokonyavisonta	14	2010
kocsányos tölgy	606	Somogytarnóca	14	2011
közönséges bükk	439	Püspökszentlászló	2	2011
gyertyán	355	Sikonda	2	2008
borostyán	85	Kőszeg	17	2008
kocsányos tölgy	512	Gemenc	16	2003
kocsányos tölgy	501	Diósjenő	12	2005
közönséges bükk	441	Püspökszentlászló	2	2011
kocsányos tölgy	591	Lad	14	2009
