id	nev	tipus	megye	orszag
1	Miskolc	megyeszékhely	Borsod-Abaúj-Zemplén	
2	Budapest	főváros	Budapest	
3	Pilisliget	község	Pest	
4	Komárom	város	Komárom-Esztergom	
5	Veszprém	megyeszékhely	Veszprém	
6	Abaújszántó	város	Borsod-Abaúj-Zemplén	
7	Páty	község	Pest	
8	Kisterenye	község	Nógrád	
9	Kalocsa	város	Bács-Kiskun	
10	Balatonfűzfő	város	Veszprém	
11	Székesfehérvár	megyeszékhely	Fejér	
12	Ózd	város	Borsod-Abaúj-Zemplén	
13	Kassa	város		Szlovákia
14	Ajka	város	Veszprém	
15	Békés	város	Békés	
16	Kazincbarcika	város	Borsod-Abaúj-Zemplén	
17	Vasvár	város	Vas	
18	Szombathely	megyeszékhely	Vas	
19	Balatonfenyves	község	Somogy	
20	Budaörs	város	Pest	
21	Tárnok	nagyközség	Pest	
22	Szolnok	megyeszékhely	Jász-Nagykun-Szolnok	
23	Celldömölk	város	Vas	
24	Wien	főváros		Ausztria
25	Arad	város		Románia
26	Leipzig	város		NDK
27	Leichlingen	város		Németország
28	Pécs	megyeszékhely	Baranya	
29	Ruzomberok	város		Szlovákia
30	Mitterlich	község		Németország
31	Langenzersdorf	község		Ausztria
32	Nagykáta	város	Pest	
33	Szeged	megyeszékhely	Csongrád	
34	Tatabánya	megyeszékhely	Komárom-Esztergom	
35	Solingen	város		Németország
36	Nyíregyháza	megyeszékhely	Szabolcs-Szatmár	
37	Graz	város		Ausztria
38	Bőcs	község	Borsod-Abaúj-Zemplén	
39	Ecséd	község	Heves	
40	Salgótarján	megyeszékhely	Nógrád	
41	Lajosmizse	város	Bács-Kiskun	
42	Klagenfurt	város		Ausztria
43	Salzburg	város		Ausztria
44	Sülysáp	város	Pest	
45	Tiszaújváros	város	Borsod-Abaúj-Zemplén	
46	Dunakeszi	város	Pest	
47	Söjtör	község	Zala	
48	Sátoraljaújhely	város	Borsod-Abaúj-Zemplén	
49	Nagykálló	város	Szabolcs-Szatmár	
50	Kaposvár	megyeszékhely	Somogy	
51	Debrecen	megyeszékhely	Hajdú-Bihar	
52	Ács	város	Komárom-Esztergom	
53	Gödöllő	város	Pest	
54	Sárvár	város	Vas	
55	Szentes	város	Csongrád	
56	Sajószentpéter	város	Borsod-Abaúj-Zemplén	
57	Érd	megyei jogú város	Pest	
58	Veresegyház	város	Pest	
59	Göd	város	Pest	
60	Dobogókő	község	Pest	
61	Berlin	főváros		Németország
62	Kőszeg	város	Vas	
63	Kiskunhalas	város	Bács-Kiskun	
64	Bátonyterenye	város	Nógrád	
65	Zalaszentmihály	község	Zala	
66	Eger	megyeszékhely	Heves	
67	Hatvan	város	Heves	
68	Szentgotthárd	város	Vas	
69	Pákozd	község	Fejér	
70	Kiskunmajsa	város	Bács-Kiskun	
71	Környe	község	Komárom-Esztergom	
72	Paks	város	Tolna	
73	Remse	község		Németország
74	Kecskemét	megyeszékhely	Bács-Kiskun	
75	Hernádszurdok	község	Borsod-Abaúj-Zemplén	
76	Csomád	község	Pest	
77	Zalaegerszeg	megyeszékhely	Zala	
78	Herend	város	Veszprém	
79	Várpalota	város	Veszprém	
80	Vecsés	város	Pest	
81	Erdőtelek	község	Heves	
82	Hosszúhetény	község	Baranya	
83	Siófok	város	Somogy	
84	Sopron	megyei jogú város	Győr-Moson-Sopron	
85	Vác	város	Pest	
86	Oroszlány	város	Komárom-Esztergom	
87	Csabdi	község	Fejér	
88	Ebes	község	Hajdú-Bihar	
89	Szigetszentmiklós	város	Pest	
90	Majosháza	község	Pest	
91	Kiskunfélegyháza	város	Bács-Kiskun	
92	Gyömrő	város	Pest	
93	Püspökladány	város	Hajdú-Bihar	
94	Százhalombatta	város	Pest	
95	Cibakháza	nagyközség	Jász-Nagykun-Szolnok	
96	Kerekegyháza	város	Bács-Kiskun	
97	Adács	község	Heves	
98	Balatonfüred	város	Veszprém	
99	Szabadka	város		
100	Pápa	város	Veszprém	
101	Dunavarsány	város	Pest	
102	Nagyvenyim	község	Fejér	
103	Dunaújváros	megyei jogú város	Fejér	
104	Alsótelekes	község	Borsod-Abaúj-Zemplén	
105	Szob	város	Pest	
