bedatum	javdatum	helyaz	szereloaz	munkaora	anyagar
2001.05.28	2001.05.31	163	5	2	3721
2001.02.26	2001.03.02	96	3	3	1432
2001.03.19	2001.03.22	242	6	3	3016
2001.05.14	2001.05.16	452	2	3	1434
2001.05.24	2001.05.26	171	2	2	2666
2001.04.11	2001.04.14	391	6	1	901
2001.08.29	2001.08.30	114	4	1	3498
2001.07.07	2001.07.09	488	5	3	5186
2001.09.11	2001.09.15	308	5	1	4377
2001.08.30	2001.08.31	327	2	1	2962
2001.12.19	2001.12.22	59	4	3	3185
2001.09.14	2001.09.15	393	5	3	3756
2001.10.11	2001.10.14	401	4	1	2894
2001.04.13	2001.04.13	190	4	1	4259
2001.05.20	2001.05.23	45	6	3	1636
2001.01.29	2001.01.31	372	3	1	2250
2001.12.21	2001.12.24	169	6	1	5085
2002.01.08	2002.01.10	216	2	2	2023
2001.11.13	2001.11.13	430	1	3	5407
2001.10.22	2001.10.22	100	3	1	1255
2001.01.19	2001.01.20	366	2	1	1788
2001.12.22	2001.12.23	355	2	1	713
2001.04.12	2001.04.15	135	5	3	4308
2001.09.07	2001.09.07	279	5	1	1023
2002.01.22	2002.01.26	221	3	1	1130
2002.01.30	2002.02.03	35	6	1	1022
2001.10.02	2001.10.04	445	5	1	1155
2001.02.19	2001.02.22	271	1	1	2378
2001.08.26	2001.08.30	412	1	1	2938
2001.03.19	2001.03.22	484	5	1	3366
2001.02.20	2001.02.22	430	5	2	1567
2001.05.07	2001.05.10	245	1	1	1730
2001.12.03	2001.12.06	313	4	2	3489
2001.08.27	2001.08.27	462	6	1	4930
2001.07.21	2001.07.25	214	3	2	1172
2001.12.15	2001.12.16	411	5	1	3928
2001.11.06	2001.11.10	194	5	3	5491
2001.01.28	2001.01.30	175	4	1	4733
2001.09.05	2001.09.08	143	1	3	4853
2001.11.30	2001.12.01	279	6	1	1520
2001.02.16	2001.02.18	150	6	2	3427
2001.08.31	2001.09.02	470	6	1	3859
2001.04.03	2001.04.04	369	4	3	1487
2001.04.30	2001.05.02	431	5	2	1448
2001.05.23	2001.05.27	263	2	1	5161
2001.05.01	2001.05.02	385	1	2	4473
2001.03.15	2001.03.16	319	6	2	2542
2001.01.21	2001.01.25	74	3	1	1873
2001.06.02	2001.06.02	417	6	1	3674
2001.07.15	2001.07.17	330	6	2	3500
2001.07.22	2001.07.24	113	2	1	5388
2001.11.02	2001.11.06	382	3	2	3508
2002.01.22	2002.01.26	377	2	1	4769
2001.01.21	2001.01.24	328	5	2	4724
2001.05.28	2001.05.29	344	5	2	4981
2001.03.27	2001.03.28	159	4	3	608
2001.09.07	2001.09.10	94	3	3	550
2001.05.25	2001.05.27	457	6	3	3842
2001.05.05	2001.05.07	221	6	1	1306
2001.04.24	2001.04.25	207	1	1	4929
2001.02.21	2001.02.24	34	1	3	3978
2001.10.04	2001.10.06	172	3	1	1784
2001.01.04	2001.01.07	137	3	2	2420
2001.05.05	2001.05.09	130	4	2	4602
2001.07.24	2001.07.27	226	2	3	4234
2001.08.30	2001.09.02	471	3	2	3704
2002.01.09	2002.01.13	160	2	3	1117
2001.12.07	2001.12.09	410	1	3	1260
2001.10.15	2001.10.15	254	2	3	2689
2001.10.10	2001.10.11	137	4	3	3041
2001.09.25	2001.09.29	165	3	1	1367
2001.09.07	2001.09.08	476	6	1	3317
2001.11.20	2001.11.21	301	3	2	3160
2001.07.27	2001.07.28	244	5	1	1680
2001.07.05	2001.07.07	175	4	2	4404
2001.10.02	2001.10.06	24	5	3	4514
2002.01.15	2002.01.17	339	2	2	4126
2001.07.01	2001.07.02	482	3	2	1078
2001.09.21	2001.09.24	209	4	1	4795
2001.09.17	2001.09.18	182	1	1	1765
2001.02.05	2001.02.05	300	2	2	3257
2001.06.26	2001.06.28	431	1	2	3438
2001.05.23	2001.05.27	8	1	3	649
2001.12.08	2001.12.12	81	3	3	3832
2001.04.11	2001.04.11	387	6	2	2244
2001.10.08	2001.10.10	456	1	3	919
2001.08.15	2001.08.19	490	3	3	3274
2001.04.30	2001.05.02	325	3	1	4470
2001.09.18	2001.09.18	88	1	3	630
2001.08.23	2001.08.23	321	1	2	5420
2001.02.05	2001.02.08	367	2	3	1576
2001.03.01	2001.03.02	202	2	1	3926
2001.04.24	2001.04.28	431	6	2	2697
2001.12.09	2001.12.10	351	1	3	2028
2002.02.02	2002.02.06	44	6	1	4369
2001.12.25	2001.12.29	418	1	3	3009
2001.05.30	2001.06.01	123	2	2	3309
2001.10.12	2001.10.14	22	2	3	4393
2001.05.21	2001.05.21	318	6	3	2718
2001.05.31	2001.05.31	15	2	2	3094
2002.01.27	2002.01.31	45	2	1	4596
2001.08.10	2001.08.13	3	1	3	4644
2001.11.13	2001.11.17	368	2	3	4573
2001.06.12	2001.06.13	154	2	2	1506
2001.09.21	2001.09.23	428	1	3	3096
2001.10.21	2001.10.24	424	2	1	2876
2001.05.13	2001.05.15	91	5	2	549
2001.03.26	2001.03.30	364	5	3	790
2001.11.10	2001.11.11	450	5	1	3357
2002.01.09	2002.01.10	1	1	3	894
2001.07.31	2001.08.01	68	3	1	3108
2001.03.12	2001.03.13	164	2	3	4361
2001.11.21	2001.11.25	265	6	3	4613
2001.05.15	2001.05.17	246	4	3	4384
2001.01.04	2001.01.07	8	3	2	3778
2001.04.17	2001.04.19	404	3	3	2198
2001.09.26	2001.09.26	295	4	3	2959
2001.06.25	2001.06.26	255	3	2	881
2001.11.16	2001.11.17	347	2	1	3762
2001.12.27	2001.12.30	242	1	2	4832
2001.02.21	2001.02.23	204	1	1	560
2001.03.04	2001.03.06	390	5	3	1979
2002.01.15	2002.01.19	158	2	3	1231
2001.04.18	2001.04.22	381	1	1	2419
2001.03.26	2001.03.29	252	1	1	1948
2002.01.03	2002.01.07	83	6	2	1524
2001.05.29	2001.06.01	55	1	3	1770
2001.07.27	2001.07.27	32	2	1	1700
2001.10.01	2001.10.01	239	1	1	2721
2001.07.18	2001.07.22	450	3	3	4598
2001.07.02	2001.07.04	148	6	1	4003
2001.03.05	2001.03.06	412	1	1	1363
2001.12.24	2001.12.26	222	1	2	5086
2001.04.07	2001.04.07	333	4	2	999
2001.08.14	2001.08.18	344	1	3	1247
2001.01.10	2001.01.12	173	2	3	1777
2001.07.17	2001.07.18	272	3	2	1147
2001.11.23	2001.11.27	148	6	3	2131
2001.08.25	2001.08.26	467	1	2	4152
2001.12.04	2001.12.06	25	3	3	3322
2001.11.03	2001.11.05	414	5	3	3704
2001.11.16	2001.11.16	129	5	2	2193
2001.12.02	2001.12.03	171	2	3	3576
2001.01.31	2001.02.02	94	1	3	2442
2001.01.23	2001.01.24	64	2	1	4733
2001.09.06	2001.09.10	202	3	1	3230
2001.03.13	2001.03.16	269	2	3	2481
2001.02.16	2001.02.18	381	4	3	3213
2001.05.06	2001.05.10	108	3	3	2786
2001.10.24	2001.10.26	303	6	2	3552
2002.02.03	2002.02.03	15	5	1	1810
2001.05.24	2001.05.24	169	6	3	3419
2002.01.15	2002.01.16	205	2	2	1136
2001.05.12	2001.05.15	80	1	2	3598
2001.08.31	2001.09.01	159	4	2	5313
2002.01.04	2002.01.06	234	5	3	3608
2001.12.02	2001.12.06	260	2	3	4468
2001.07.26	2001.07.27	480	3	1	4824
2001.04.06	2001.04.09	17	3	1	4479
2001.10.27	2001.10.31	115	5	3	5003
2001.10.30	2001.11.01	132	3	1	4055
2002.01.13	2002.01.14	126	1	1	3812
2001.12.21	2001.12.23	453	5	1	4191
2001.07.28	2001.07.29	231	6	2	4054
2001.07.13	2001.07.14	178	2	2	3260
2001.05.12	2001.05.14	24	3	1	3068
2001.03.22	2001.03.23	151	2	1	1870
2001.07.03	2001.07.04	484	3	2	2948
2001.07.31	2001.08.01	255	5	3	4324
2001.07.12	2001.07.13	304	1	1	568
