datum	regenyid	darab
2008.01.01	41	1
2008.01.01	37	18
2008.01.01	39	1
2008.01.01	18	7
2008.01.01	55	5
2008.01.01	52	1
2008.01.01	61	17
2008.01.01	49	1
2008.01.02	65	9
2008.01.02	58	1
2008.01.02	22	1
2008.01.02	4	1
2008.01.02	5	1
2008.01.02	49	1
2008.01.02	47	1
2008.01.02	39	1
2008.01.02	47	3
2008.01.02	40	1
2008.01.02	68	16
2008.01.02	15	1
2008.01.02	7	1
2008.01.02	44	1
2008.01.02	20	1
2008.01.02	32	1
2008.01.02	48	1
2008.01.02	25	10
2008.01.02	5	1
2008.01.02	60	1
2008.01.02	51	17
2008.01.02	25	10
2008.01.02	27	1
2008.01.02	31	1
2008.01.02	48	1
2008.01.02	27	1
2008.01.02	41	1
2008.01.02	6	1
2008.01.02	3	1
2008.01.02	18	1
2008.01.02	38	20
2008.01.02	20	1
2008.01.02	27	1
2008.01.03	28	16
2008.01.03	1	1
2008.01.03	4	1
2008.01.03	31	1
2008.01.03	33	1
2008.01.03	39	1
2008.01.03	15	1
2008.01.03	21	7
2008.01.03	63	4
2008.01.04	40	17
2008.01.04	7	1
2008.01.04	67	1
2008.01.04	1	1
2008.01.04	42	1
2008.01.04	50	1
2008.01.04	24	1
2008.01.04	33	4
2008.01.04	57	1
2008.01.04	57	1
2008.01.04	7	1
2008.01.04	51	1
2008.01.04	29	1
2008.01.04	26	1
2008.01.04	64	1
2008.01.04	37	1
2008.01.04	3	6
2008.01.04	19	1
2008.01.04	44	1
2008.01.04	72	1
2008.01.04	45	1
2008.01.04	45	15
2008.01.04	51	1
2008.01.04	41	6
2008.01.04	23	7
2008.01.04	64	1
2008.01.04	18	1
2008.01.04	56	1
2008.01.04	30	1
2008.01.04	72	1
2008.01.04	44	17
2008.01.04	71	1
2008.01.04	41	1
2008.01.04	71	1
2008.01.04	48	1
2008.01.04	34	1
2008.01.04	22	13
2008.01.04	24	1
2008.01.04	46	1
2008.01.04	60	1
2008.01.04	61	1
2008.01.04	10	19
2008.01.05	60	1
2008.01.05	43	1
2008.01.05	32	1
2008.01.05	40	1
2008.01.05	6	1
2008.01.05	7	1
2008.01.05	6	1
2008.01.05	62	5
2008.01.05	11	1
2008.01.05	59	1
2008.01.05	55	1
2008.01.05	29	1
2008.01.05	40	1
2008.01.05	58	1
2008.01.05	71	1
2008.01.05	34	1
2008.01.05	44	18
2008.01.05	10	1
2008.01.05	9	1
2008.01.05	3	1
2008.01.05	61	7
2008.01.05	55	1
2008.01.05	3	9
