diakid	datum	ertek	tipus	targyid
140	2010.09.08	4	szóbeli felelet	13
105	2010.09.08	5	szóbeli felelet	13
105	2010.09.08	4	szóbeli felelet	13
345	2010.09.07	5	szóbeli felelet	6
390	2010.09.07	5	szóbeli felelet	6
365	2010.09.07	5	órai munka	6
351	2010.09.06	5	szóbeli felelet	5
366	2010.09.06	5	szóbeli felelet	3
365	2010.09.06	5	szóbeli felelet	3
360	2010.09.06	5	szóbeli felelet	3
83	2010.09.06	5	szóbeli felelet	18
419	2010.09.03	5	órai munka	19
408	2010.09.03	5	órai munka	19
140	2010.09.08	5	röpdolgozat	13
183	2010.09.08	5	szóbeli felelet	13
155	2010.09.08	5	szóbeli felelet	13
113	2010.09.08	4	szóbeli felelet	13
129	2010.09.08	5	szóbeli felelet	13
103	2010.09.08	5	szóbeli felelet	13
150	2010.09.08	5	szóbeli felelet	13
172	2010.09.08	5	szóbeli felelet	13
297	2010.09.08	4	szóbeli felelet	13
297	2010.09.08	5	szóbeli felelet	13
262	2010.09.08	4	szóbeli felelet	13
253	2010.09.08	5	röpdolgozat	13
274	2010.09.08	5	röpdolgozat	13
272	2010.09.08	5	szóbeli felelet	13
27	2010.09.08	5	szóbeli felelet	3
334	2010.09.09	4	szóbeli felelet	6
324	2010.09.09	5	órai munka	6
319	2010.09.09	5	röpdolgozat	12
262	2010.09.09	5	röpdolgozat	12
216	2010.09.09	4	röpdolgozat	12
263	2010.09.09	4	röpdolgozat	12
253	2010.09.09	4	röpdolgozat	12
288	2010.09.09	4	röpdolgozat	12
238	2010.09.09	5	röpdolgozat	12
215	2010.09.09	4	röpdolgozat	12
244	2010.09.09	5	röpdolgozat	12
216	2010.09.09	5	röpdolgozat	12
288	2010.09.09	5	röpdolgozat	12
383	2010.09.09	3	szóbeli felelet	6
299	2010.09.09	4	szóbeli felelet	10
180	2010.09.09	5	szóbeli felelet	10
367	2010.09.09	4	szóbeli felelet	3
359	2010.09.09	5	szóbeli felelet	10
24	2010.09.09	5	házi dolgozat	13
388	2010.09.10	1	órai munka	1
84	2010.09.10	5	szóbeli felelet	14
23	2010.09.10	4	szóbeli felelet	14
298	2010.09.10	5	szóbeli felelet	10
78	2010.09.11	4	szóbeli felelet	3
131	2010.09.12	4	szóbeli felelet	3
283	2010.09.13	5	szóbeli felelet	18
307	2010.09.13	4	röpdolgozat	12
222	2010.09.13	5	röpdolgozat	12
270	2010.09.13	4	röpdolgozat	12
309	2010.09.13	4	röpdolgozat	12
292	2010.09.13	5	röpdolgozat	12
285	2010.09.13	5	röpdolgozat	12
256	2010.09.13	3	röpdolgozat	12
272	2010.09.13	5	röpdolgozat	12
299	2010.09.13	4	röpdolgozat	12
237	2010.09.13	4	szóbeli felelet	10
42	2010.09.13	4	szóbeli felelet	10
397	2010.09.13	5	szóbeli felelet	3
388	2010.09.13	3	szóbeli felelet	19
356	2010.09.13	5	szóbeli felelet	19
56	2010.09.13	5	röpdolgozat	5
19	2010.09.13	5	röpdolgozat	5
92	2010.09.13	5	röpdolgozat	5
54	2010.09.13	5	röpdolgozat	5
4	2010.09.13	5	röpdolgozat	5
363	2010.09.14	3	szóbeli felelet	6
301	2010.09.14	5	szóbeli felelet	18
379	2010.09.14	5	szóbeli felelet	10
303	2010.09.14	5	szóbeli felelet	4
164	2010.09.14	5	szóbeli felelet	10
116	2010.09.14	5	szóbeli felelet	10
58	2010.09.14	5	szóbeli felelet	3
172	2010.09.14	5	szóbeli felelet	12
41	2010.09.14	5	röpdolgozat	10
6	2010.09.14	5	röpdolgozat	10
80	2010.09.14	4	röpdolgozat	10
102	2010.09.14	3	röpdolgozat	10
53	2010.09.14	4	röpdolgozat	10
83	2010.09.14	5	röpdolgozat	10
212	2010.09.14	4	röpdolgozat	10
84	2010.09.14	5	röpdolgozat	10
85	2010.09.14	5	röpdolgozat	10
81	2010.09.14	4	röpdolgozat	10
89	2010.09.14	4	röpdolgozat	10
94	2010.09.14	5	röpdolgozat	10
82	2010.09.14	3	röpdolgozat	10
15	2010.09.14	5	röpdolgozat	10
77	2010.09.14	5	röpdolgozat	10
79	2010.09.14	3	röpdolgozat	10
76	2010.09.14	5	röpdolgozat	10
16	2010.09.14	2	röpdolgozat	10
38	2010.09.14	4	röpdolgozat	10
63	2010.09.14	3	röpdolgozat	10
62	2010.09.14	5	röpdolgozat	10
61	2010.09.14	4	röpdolgozat	10
67	2010.09.14	3	röpdolgozat	10
65	2010.09.14	5	röpdolgozat	10
95	2010.09.14	3	röpdolgozat	10
25	2010.09.14	5	röpdolgozat	10
26	2010.09.14	5	röpdolgozat	10
35	2010.09.14	5	röpdolgozat	10
73	2010.09.14	5	röpdolgozat	10
68	2010.09.14	5	röpdolgozat	10
33	2010.09.14	5	röpdolgozat	10
87	2010.09.14	5	röpdolgozat	10
154	2010.09.14	4	témazáró dolgozat	14
289	2010.09.14	3	témazáró dolgozat	17
223	2010.09.14	1	témazáró dolgozat	17
228	2010.09.14	5	témazáró dolgozat	17
236	2010.09.14	2	témazáró dolgozat	17
240	2010.09.14	1	témazáró dolgozat	17
241	2010.09.14	3	témazáró dolgozat	17
242	2010.09.14	1	témazáró dolgozat	17
294	2010.09.14	3	témazáró dolgozat	17
141	2010.09.15	5	röpdolgozat	14
127	2010.09.15	3	röpdolgozat	14
186	2010.09.15	3	röpdolgozat	14
130	2010.09.15	2	röpdolgozat	14
133	2010.09.15	4	röpdolgozat	14
171	2010.09.15	2	röpdolgozat	14
161	2010.09.15	3	röpdolgozat	14
189	2010.09.15	2	röpdolgozat	14
191	2010.09.15	3	röpdolgozat	14
109	2010.09.15	5	röpdolgozat	14
141	2010.09.15	5	témazáró dolgozat	14
127	2010.09.15	5	órai munka	14
186	2010.09.15	5	témazáró dolgozat	14
133	2010.09.15	5	témazáró dolgozat	14
133	2010.09.15	5	órai munka	14
161	2010.09.15	5	órai munka	14
191	2010.09.15	5	órai munka	14
109	2010.09.15	5	témazáró dolgozat	14
109	2010.09.15	5	órai munka	14
166	2010.09.15	5	témazáró dolgozat	14
85	2010.09.15	2	témazáró dolgozat	16
74	2010.09.15	3	témazáró dolgozat	16
97	2010.09.15	4	témazáró dolgozat	16
352	2010.09.15	5	szóbeli felelet	12
344	2010.09.15	5	szóbeli felelet	12
105	2010.09.15	3	szóbeli felelet	12
115	2010.09.15	4	szóbeli felelet	12
187	2010.09.15	4	szóbeli felelet	12
118	2010.09.15	4	szóbeli felelet	12
204	2010.09.15	2	szóbeli felelet	12
203	2010.09.15	4	szóbeli felelet	12
194	2010.09.15	4	szóbeli felelet	12
145	2010.09.15	5	szóbeli felelet	12
183	2010.09.15	4	szóbeli felelet	12
207	2010.09.15	3	szóbeli felelet	12
211	2010.09.15	5	szóbeli felelet	12
122	2010.09.15	5	szóbeli felelet	12
105	2010.09.15	2	szóbeli felelet	12
115	2010.09.15	5	szóbeli felelet	12
187	2010.09.15	5	szóbeli felelet	12
118	2010.09.15	4	szóbeli felelet	12
204	2010.09.15	4	szóbeli felelet	12
203	2010.09.15	3	szóbeli felelet	12
194	2010.09.15	5	szóbeli felelet	12
145	2010.09.15	5	szóbeli felelet	12
183	2010.09.15	5	szóbeli felelet	12
207	2010.09.15	5	szóbeli felelet	12
211	2010.09.15	4	szóbeli felelet	12
122	2010.09.15	5	szóbeli felelet	12
183	2010.09.15	5	szóbeli felelet	12
187	2010.09.15	4	szóbeli felelet	12
49	2010.09.15	5	órai munka	10
271	2010.09.15	4	szóbeli felelet	10
277	2010.09.15	5	szóbeli felelet	10
62	2010.09.15	4	szóbeli felelet	4
309	2010.09.15	1	témazáró dolgozat	16
302	2010.09.15	4	témazáró dolgozat	16
185	2010.09.15	5	szóbeli felelet	3
298	2010.09.15	5	szóbeli felelet	6
221	2010.09.15	5	szóbeli felelet	6
360	2010.09.16	4	szóbeli felelet	6
322	2010.09.16	3	szóbeli felelet	6
53	2010.09.16	5	órai munka	18
119	2010.09.16	2	szóbeli felelet	10
147	2010.09.16	5	szóbeli felelet	10
264	2010.09.16	5	szóbeli felelet	10
316	2010.09.16	5	röpdolgozat	12
290	2010.09.16	5	röpdolgozat	12
308	2010.09.16	5	röpdolgozat	12
303	2010.09.16	5	röpdolgozat	12
229	2010.09.16	5	röpdolgozat	12
267	2010.09.16	5	röpdolgozat	12
268	2010.09.16	5	röpdolgozat	12
240	2010.09.16	5	röpdolgozat	12
114	2010.09.16	5	röpdolgozat	12
104	2010.09.16	5	röpdolgozat	12
140	2010.09.16	5	röpdolgozat	12
116	2010.09.16	5	röpdolgozat	12
146	2010.09.16	5	röpdolgozat	12
180	2010.09.16	5	röpdolgozat	12
205	2010.09.16	5	röpdolgozat	12
128	2010.09.16	5	röpdolgozat	12
137	2010.09.16	4	röpdolgozat	12
175	2010.09.16	5	röpdolgozat	12
155	2010.09.16	5	röpdolgozat	12
167	2010.09.16	5	röpdolgozat	12
148	2010.09.16	5	röpdolgozat	12
209	2010.09.16	5	röpdolgozat	12
144	2010.09.16	5	röpdolgozat	12
156	2010.09.16	5	röpdolgozat	12
96	2010.09.16	3	röpdolgozat	12
151	2010.09.16	5	röpdolgozat	12
106	2010.09.16	5	röpdolgozat	12
104	2010.09.16	4	röpdolgozat	12
167	2010.09.16	4	röpdolgozat	12
148	2010.09.16	4	röpdolgozat	12
140	2010.09.16	5	témazáró dolgozat	12
116	2010.09.16	5	témazáró dolgozat	12
146	2010.09.16	5	témazáró dolgozat	12
128	2010.09.16	5	témazáró dolgozat	12
175	2010.09.16	5	témazáró dolgozat	12
155	2010.09.16	5	témazáró dolgozat	12
148	2010.09.16	5	témazáró dolgozat	12
156	2010.09.16	5	témazáró dolgozat	12
96	2010.09.16	5	témazáró dolgozat	12
384	2010.09.16	3	szóbeli felelet	3
398	2010.09.16	5	szóbeli felelet	19
69	2010.09.16	4	röpdolgozat	5
8	2010.09.16	4	röpdolgozat	5
9	2010.09.16	5	röpdolgozat	5
93	2010.09.16	3	röpdolgozat	5
43	2010.09.16	5	röpdolgozat	5
10	2010.09.16	5	röpdolgozat	5
52	2010.09.16	4	röpdolgozat	5
51	2010.09.16	5	röpdolgozat	5
59	2010.09.16	5	röpdolgozat	5
12	2010.09.16	5	röpdolgozat	5
2	2010.09.16	5	röpdolgozat	5
14	2010.09.16	5	röpdolgozat	5
49	2010.09.16	5	röpdolgozat	5
28	2010.09.16	5	röpdolgozat	5
17	2010.09.16	5	röpdolgozat	5
37	2010.09.16	4	röpdolgozat	5
88	2010.09.16	5	röpdolgozat	5
21	2010.09.16	5	röpdolgozat	5
66	2010.09.16	5	röpdolgozat	5
50	2010.09.16	5	röpdolgozat	5
23	2010.09.16	4	röpdolgozat	5
40	2010.09.16	5	röpdolgozat	5
60	2010.09.16	4	röpdolgozat	5
64	2010.09.16	4	röpdolgozat	5
113	2010.09.17	3	röpdolgozat	3
111	2010.09.17	4	röpdolgozat	3
65	2010.09.17	5	röpdolgozat	14
66	2010.09.17	4	röpdolgozat	14
35	2010.09.17	5	röpdolgozat	14
73	2010.09.17	4	röpdolgozat	14
87	2010.09.17	5	röpdolgozat	14
90	2010.09.17	4	szóbeli felelet	12
75	2010.09.17	5	szóbeli felelet	12
45	2010.09.17	5	szóbeli felelet	12
55	2010.09.17	5	szóbeli felelet	12
278	2010.09.17	5	szóbeli felelet	14
277	2010.09.17	5	szóbeli felelet	14
281	2010.09.17	5	szóbeli felelet	14
280	2010.09.17	5	szóbeli felelet	14
219	2010.09.17	5	szóbeli felelet	14
313	2010.09.17	5	szóbeli felelet	14
224	2010.09.17	3	szóbeli felelet	14
226	2010.09.17	5	szóbeli felelet	14
227	2010.09.17	3	szóbeli felelet	14
217	2010.09.17	5	szóbeli felelet	14
312	2010.09.17	3	szóbeli felelet	14
275	2010.09.17	5	szóbeli felelet	14
271	2010.09.17	4	szóbeli felelet	14
282	2010.09.17	4	szóbeli felelet	14
280	2010.09.17	5	szóbeli felelet	14
275	2010.09.17	5	szóbeli felelet	14
204	2010.09.17	2	szóbeli felelet	14
145	2010.09.17	5	szóbeli felelet	14
98	2010.09.17	4	szóbeli felelet	14
211	2010.09.17	4	szóbeli felelet	14
188	2010.09.17	3	szóbeli felelet	14
197	2010.09.17	2	szóbeli felelet	14
182	2010.09.17	5	szóbeli felelet	14
112	2010.09.17	3	szóbeli felelet	14
170	2010.09.17	2	szóbeli felelet	14
125	2010.09.17	4	szóbeli felelet	14
154	2010.09.17	3	témazáró dolgozat	12
225	2010.09.17	5	témazáró dolgozat	16
5	2010.09.17	5	órai munka	12
36	2010.09.17	5	órai munka	12
117	2010.09.17	5	órai munka	12
107	2010.09.17	5	órai munka	12
163	2010.09.17	5	órai munka	12
62	2010.09.17	5	témazáró dolgozat	17
301	2010.09.17	5	szóbeli felelet	10
97	2010.09.17	4	szóbeli felelet	10
164	2010.09.17	5	szóbeli felelet	11
18	2010.09.17	5	röpdolgozat	13
262	2010.09.17	4	szóbeli felelet	13
263	2010.09.17	4	röpdolgozat	13
297	2010.09.17	5	szóbeli felelet	13
251	2010.09.17	4	röpdolgozat	13
253	2010.09.17	3	röpdolgozat	13
308	2010.09.17	3	szóbeli felelet	13
308	2010.09.17	4	szóbeli felelet	13
308	2010.09.17	3	röpdolgozat	13
274	2010.09.17	4	röpdolgozat	13
274	2010.09.17	4	szóbeli felelet	13
274	2010.09.17	5	szóbeli felelet	13
257	2010.09.17	5	röpdolgozat	13
257	2010.09.17	4	röpdolgozat	13
