mez	be	ki	bkis	bjo
7	0:0:00	0:1:05	1	0
18	0:0:00	0:2:17	1	1
35	0:0:00	0:0:40	1	0
11	0:0:00	0:1:05	2	1
21	0:0:00	0:3:23	3	1
10	0:0:40	0:3:23	2	2
3	0:1:05	0:3:23	1	1
17	0:1:05	0:3:55	1	0
23	0:2:17	0:5:12	2	0
33	0:3:23	0:4:42	1	0
11	0:3:23	0:5:12	2	1
50	0:3:23	0:5:36	3	1
30	0:3:55	0:5:36	0	0
35	0:4:42	0:5:55	2	1
21	0:5:12	0:7:05	2	0
7	0:5:12	0:6:30	0	0
33	0:5:36	0:7:05	1	1
40	0:5:36	0:7:05	0	0
17	0:5:55	0:10:00	5	4
3	0:6:30	0:7:55	1	1
15	0:7:05	0:8:30	0	0
30	0:7:05	0:8:55	1	0
23	0:7:05	0:10:00	1	1
50	0:7:55	0:8:30	0	0
35	0:8:30	0:9:23	2	0
3	0:8:30	0:9:23	0	0
33	0:8:55	0:10:00	1	1
11	0:9:23	0:10:00	0	0
50	0:9:23	0:10:00	1	0
50	0:10:00	0:10:43	1	0
23	0:10:00	0:11:50	1	1
11	0:10:00	0:12:17	1	0
33	0:10:00	0:12:36	2	1
35	0:10:00	0:10:43	3	1
3	0:10:43	0:12:36	2	2
10	0:10:43	0:13:20	1	1
18	0:11:50	0:13:20	1	0
15	0:12:17	0:13:20	2	0
7	0:12:36	0:15:09	1	0
30	0:12:36	0:14:53	2	1
40	0:13:20	0:14:12	3	1
21	0:13:20	0:14:12	0	0
17	0:13:20	0:15:09	1	1
18	0:14:12	0:15:09	0	0
11	0:14:12	0:16:28	1	0
33	0:14:53	0:16:05	1	1
50	0:15:09	0:16:28	0	0
23	0:15:09	0:16:50	2	0
35	0:15:09	0:18:40	0	0
10	0:16:05	0:16:50	1	1
3	0:16:28	0:17:49	0	0
17	0:16:28	0:18:10	1	0
40	0:16:50	0:18:10	2	1
50	0:17:49	0:18:40	3	1
23	0:18:10	0:20:00	0	0
11	0:18:10	0:18:58	2	1
7	0:18:40	0:19:08	2	0
30	0:18:40	0:20:00	0	0
50	0:18:58	0:20:00	1	1
11	0:19:08	0:20:00	0	0
35	0:19:08	0:20:00	3	1
50	0:20:00	0:22:35	0	0
18	0:20:00	0:24:12	1	1
11	0:20:00	0:22:35	0	0
30	0:20:00	0:20:47	1	0
33	0:20:00	0:23:12	1	1
10	0:20:47	0:24:12	0	0
7	0:22:35	0:25:02	2	0
15	0:22:35	0:26:27	0	0
35	0:23:12	0:26:27	1	1
23	0:24:12	0:26:27	0	0
21	0:24:12	0:30:00	1	0
50	0:25:02	0:28:48	2	1
18	0:26:27	0:28:48	1	1
17	0:26:27	0:27:45	1	0
11	0:26:27	0:27:45	2	1
30	0:27:45	0:30:00	3	1
33	0:27:45	0:30:00	2	1
3	0:28:48	0:30:00	1	1
40	0:28:48	0:30:00	1	0
50	0:30:00	0:32:41	2	0
23	0:30:00	0:31:52	1	0
11	0:30:00	0:32:41	2	1
33	0:30:00	0:33:36	1	1
35	0:30:00	0:33:36	1	0
40	0:31:52	0:33:36	2	1
3	0:32:41	0:34:58	3	1
35	0:32:41	0:38:48	2	2
18	0:33:36	0:34:57	0	0
21	0:33:36	0:34:57	1	0
11	0:33:36	0:36:12	2	1
7	0:34:58	0:35:45	1	0
50	0:35:45	0:40:00	3	0
23	0:34:57	0:38:48	2	1
33	0:34:57	0:40:00	3	1
35	0:36:12	0:40:00	2	2
40	0:38:48	0:40:00	1	1
10	0:38:48	0:40:00	1	0
