az	telepules	utca
1	Kőváros	Gyimes u. 83.
2	Zöldhely	Bérc u. 96.
3	Barackfalva	Erdőss u. 18.
4	Kékség	Aszú u. 33.
5	Kőváros	Agyag u. 71.
6	Kékség	Csokor u. 4.
7	Zöldhely	Gőz tér 95.
8	Sárgahegy	Főnök u. 55.
9	Sárgahegy	Fenyő u. 24.
10	Sárgahegy	Cselló u. 25.
11	Kőváros	Felvidék u. 64.
12	Barackfalva	Avar u. 89.
13	Kőváros	Áldás u. 25.
14	Kékség	Katica u. 56.
15	Zöldhely	Jupiter u. 54.
16	Barackfalva	Búza u. 45.
17	Barackfalva	Csángó u. 101.
18	Barackfalva	Csend u. 72.
19	Kékség	Bajor u. 95.
20	Sárgahegy	Gyimes u. 84.
21	Barackfalva	Határ u. 21.
22	Sárgahegy	Kavics u. 103.
23	Kékség	Kör u. 21.
24	Barackfalva	Csatár u. 93.
25	Kőváros	Hír u. 34.
26	Sárgahegy	Bicska u. 19.
27	Barackfalva	Citrus u. 61.
28	Barackfalva	Fő u. 30.
29	Barackfalva	Húr u. 15.
30	Sárgahegy	Csordás u. 30.
31	Sárgahegy	Bácskai u. 79.
32	Kékség	Arnold u. 53.
33	Barackfalva	Akna u. 51.
34	Barackfalva	Állomás u. 58.
35	Sárgahegy	Furulya u. 24.
36	Sárgahegy	Gőz u. 87.
37	Barackfalva	Aknász u. 101.
38	Kőváros	Harcsa u. 2.
39	Kőváros	Delfin u. 21.
40	Kékség	Gébics u. 11.
41	Kékség	Béla u. 21.
42	Kékség	Barlang u. 49.
43	Kőváros	Berek u. 16.
44	Kékség	Igló u. 58.
45	Barackfalva	Kék u. 51.
46	Zöldhely	Alom u. 52.
47	Kékség	Igló u. 45.
48	Zöldhely	Kőszeg u. 37.
49	Kékség	Kincs u. 78.
50	Sárgahegy	Bendő u. 22.
51	Kőváros	Kajak u. 62.
52	Kőváros	Bácskai u. 75.
53	Sárgahegy	Angol u. 12.
54	Zöldhely	Hableányű u. 74.
55	Kőváros	Fenyő u. 41.
56	Barackfalva	Hattyú u. 67.
57	Barackfalva	Juhos u. 80.
58	Kékség	Kard u. 27.
59	Kőváros	Fácán u. 44.
60	Barackfalva	Ámor u. 55.
61	Sárgahegy	Kemény u. 51.
62	Zöldhely	Ágnes u. 4.
63	Kékség	Abaújvár u. 99.
64	Zöldhely	Kapitány u. 40.
65	Sárgahegy	Drégely u. 33.
66	Barackfalva	Hermina u. 68.
67	Zöldhely	Cselló u. 53.
68	Zöldhely	Csizmadia u. 34.
69	Kékség	Edison u. 29.
70	Barackfalva	Közraktár u. 86.
71	Sárgahegy	Domb u. 16.
72	Kékség	Ék u. 59.
73	Kőváros	Baka u. 92.
74	Sárgahegy	Akó u. 19.
75	Zöldhely	Almavirág u. 57.
76	Barackfalva	Farkas u. 6.
