nev	hossz	kiterjedes	melyseg	magassag	telepules
Soproni Zsivány-barlang	110	12	12	0	Fertőrákos
Abaligeti-barlang	1712	48,7	10	38,7	Abaliget
Duó-zsomboly	62,8	31	31	0	Pécs
Remény-zsomboly	60	51,5	51,5	0	Orfű
Spirál-víznyelő	850	86,4	86,4	0	Pécs
Büdöskúti-zsomboly	40	20,5	20,5	0	Pécs
Korall-zsomboly	25	17,8	17,8	0	Mánfa
Tettyei-forrásbarlang	40	17	16	1	Pécs
Mánfai-kőlyuk	310	12	4,3	7,7	Mánfa
Orfűi Vízfő-barlang	328,5	27	1	26	Orfű
Mészégető-források-barlangja	279	14,5	1,4	13,1	Orfű
Vásáros-úti-zsomboly	76,2	31,5	29,5	2	Orfű
Szuadó-völgyi-víznyelőbarlang	345,4	52	52	0	Orfű
Trió-barlang	250	58	58	0	Orfű
Madárka-zsomboly	42,4	18,3	18,3	0	Orfű
Beremendi-kristálybarlang	850	53	38	15	Beremend
Nagyharsányi-kristálybarlang	600	60	59	1	Nagyharsány
Hajszabarnai Pénz-lik	120	18,5	13	5,5	Bakonyjákó
Kőris-hegyi-ördöglik	64	36	36	0	Bakonyszücs
Pipa-zsomboly	125	48,2	48,2	0	Zirc
Bükkös-árki-barlang	73,2	31,1	31,1	0	Isztimér
Alba Regia-barlang	3600	200,2	200,2	0	Isztimér
Háromkürtő-zsomboly	360	105	105	0	Tés
Bongó-zsomboly	136,7	35,4	35,4	0	Bakonynána
Őskarszt-akna	53	40	40	0	Tés
Csengő-zsomboly	210,3	133,9	133,9	0	Olaszfalu
Jubileumi-zsomboly	222,2	121	121	0	Tés
Csipkés-zsomboly	180	72,5	72,5	0	Tés
Tábla-völgyi-barlang	350	78	78	0	Tés
Szelelő-lyuk	261,3	25	25	0	Tés
Károlyházi-nyelő barlangja	100	65	65	0	Csesznek
Szentgáli-kőlik	420	43,7	39	4,7	Szentgál
Tűzköves-hegyi-barlang	156,3	15,8	5,4	10,4	Szentgál
Cserszegtomaji-kútbarlang	3320	12	10	2	Cserszegtomaj
Acheron-kútbarlang	215	3,5	0	3,5	Cserszegtomaj
Csodabogyós-barlang	5200	121	121	0	Balatonederics
Döme-barlang	354	109,4	108	1,4	Balatonederics
Jakucs László-barlang	154	24,5	24,5	0	Balatonederics
Szél-lik	212,7	40	40	0	Balatonederics
Tapolcai-tavasbarlang	3280	22	22	0	Tapolca
Tapolcai Kórház-barlang	2280	36,8	34,8	2	Tapolca
Berger Károly-barlang	1070	14,7	14,7	0	Tapolca
Gánti-barlang	149	14,6	14	0,6	Gánt
Vértessomlói-barlang	110	36	36	0	Vértessomló
Keselő-hegyi-barlang	400	115	115	0	Tatabánya
