"Cikkszám";"megnevezés";"készlet";"egységár";"áfa";"szállító"
1;"floppy 5 1/4""";1200;100,00 Ft;0,25;3
2;"winchester 5 GB";10;30000,00 Ft;0,25;2
3;"winchester 10 GB";12;76000,00 Ft;0,25;2
4;"monitor 14""";5;50000,00 Ft;0,25;3
5;"monitor 14""";2;76000,00 Ft;0,25;2
6;"floppy 1,44 MB";2300;88,00 Ft;0,25;1
7;"CPU 1200 MHz";10;12000,00 Ft;0,25;4
8;"CPU 800 MHz";120;9200,00 Ft;0,25;3
9;"könyv";10;1500,00 Ft;0,12;5
10;"alaplap";12;1200,00 Ft;0,25;3
11;"nyomtató";3;34000,00 Ft;0,25;1
12;"nyomtató lézer";2;90000,00 Ft;0,25;4
13;"alaplap";120;1500,00 Ft;0,25;3
14;"füzet";500;120,00 Ft;0,12;5
15;"CPU 1,5 GHz";20;42000,00 Ft;0,25;6
16;"CPU P IV";10;23000,00 Ft;0,25;6
17;"CPU AMD";44;30000,00 Ft;0,25;6
18;"RAM 256 MB";220;8000,00 Ft;0,25;6
19;"RAM Noname";21;3000,00 Ft;0,25;7
20;"monitor 17""";10;43000,00 Ft;0,25;7
21;"monitor 19""";2;210000,00 Ft;0,25;2
22;"floppy Noname";1000;50,00 Ft;0,25;7
23;"floppy GoldBest";200;120,00 Ft;0,25;8
24;"modem NewOld";3;20000,00 Ft;0,25;8
25;"nyomtató Bubble";1;21000,00 Ft;0,25;8
26;"winchester 60 GB";10;45000,00 Ft;0,25;2
27;"leírás CPU-hoz";2;200,00 Ft;0,12;3
28;"leírás RAM-hoz";1;3000,00 Ft;0,12;3
29;"hangfal V5";2;2300,00 Ft;0,25;9
30;"hangfal V5.1";3;2320,00 Ft;0,25;9
31;"hangfal V5.2";12;1200,00 Ft;0,25;9
32;"leírás V5.x hangfal";2;821,00 Ft;0,12;3
33;"füzet, zenatár";4;33,00 Ft;0,12;5
34;"füzet, üres";1;45,00 Ft;0,12;5
35;"modem 32 kbs";1;200,00 Ft;0,25;9
36;"modem 56 kbs";12;5000,00 Ft;0,25;9
37;"modem külsõ";12;5600,00 Ft;0,25;7
38;"modem Noname";5;1200,00 Ft;0,25;7
39;"modem GoldBest";1;20000,00 Ft;0,25;8
40;"CPU NoName";3;10000,00 Ft;0,25;9
41;"táp Dur-Ran";5;4000,00 Ft;0,25;3
42;"táp NoName";10;2100,00 Ft;0,25;7
43;"ház NoName";20;4000,00 Ft;0,25;7
44;"hangfal";2;6000,00 Ft;0,25;3
45;"hangfal 5+1";1;13000,00 Ft;0,25;1
46;"kábelvég";200;66,00 Ft;0,25;4
47;"modem";2;4200,00 Ft;0,25;5
