utonev;elso;masodik;ujsz_1;ujsz_2;nem
ÁBEL;;;156;27;F
ÁDÁM;43373;5339;1176;176;F
ADÉL;;;173;26;N
ADRIÁN;4984;900;271;82;F
ADRIENN;27817;1954;321;54;N
ÁGNES;96914;14521;178;131;N
ÁGOSTON;;;66;35;F
ÁKOS;21889;3421;613;125;F
ALADÁR;2378;518;;;F
ALBERT;6535;1310;;;F
ALEX;6652;1389;340;104;F
ALEXA;;;207;59;N
ALEXANDER;;;88;28;F
ALEXANDRA;30416;3250;694;125;N
AMANDA;;;215;48;N
ANDOR;4722;948;;;F
ANDRÁS;106266;18045;695;274;F
ANDREA;90905;8569;199;114;N
ANETT;15693;1418;120;28;N
ANGÉLA;9709;1295;;;N
ANIKÓ;49797;5208;;;N
ANITA;49989;3520;177;72;N
ANNA;159383;28782;1414;697;N
ANNAMÁRIA;19160;1524;137;39;N
ANTAL;38843;8899;58;55;F
ARANKA;21071;3046;;;N
ARMAND;;;60;12;F
ÁRMIN;;;85;18;F
ARNOLD;3370;555;59;16;F
ÁRON;6495;1397;429;77;F
ÁRPÁD;25584;5197;89;50;F
ATTILA;140992;23705;833;429;F
BALÁZS;60175;7397;1409;222;F
BÁLINT;24194;3314;1137;141;F
BARBARA;23543;3478;476;120;N
BARNA;3616;721;79;21;F
BARNABÁS;11293;1946;584;113;F
BEÁTA;28338;3196;;;N
BEATRIX;14337;2002;140;49;N
BÉLA;69931;12371;115;78;F
BENCE;28682;4557;1889;307;F
BENDEGÚZ;;;181;162;F
BENEDEK;4282;1246;412;104;F
BENJÁMIN;4903;1186;313;113;F
BERNADETT;25246;2842;234;78;N
BERTALAN;8315;1245;78;22;F
BETTINA;10227;866;182;33;N
BIANKA;8951;1658;500;120;N
BLANKA;;;243;58;N
BOGLÁRKA;13916;2012;920;164;N
BOLDIZSÁR;;;131;42;F
BORBÁLA;25393;4702;149;83;N
BOTOND;4230;907;483;84;F
BRENDON;;;74;26;F
BRIGITTA;24951;2495;209;74;N
CINTIA;;;290;54;N
CSABA;88938;15563;465;228;F
CSANÁD;;;64;18;F
CSENGE;;;523;132;N
CSILLA;31577;5365;136;76;N
CSONGOR;;;112;29;F
DALMA;;;119;34;N
DÁNIEL;44569;6762;1325;304;F
DÁVID;46252;6467;1390;271;F
DÉNES;8665;1657;63;20;F
DEZSÕ;15040;2719;;;F
DIÁNA;10736;1703;173;68;N
DOMINIK;7239;1518;946;213;F
DOMINIKA;;;291;68;N
DOMONKOS;;;116;23;F
DONÁT;;;87;16;F
DÓRA;31528;3713;698;119;N
DORINA;8443;1043;946;149;N
DORKA;;;279;40;N
DOROTTYA;9534;1374;291;64;N
DZSENIFER;;;393;59;N
EDINA;24749;2090;;;N
EDIT;62934;8021;;;N
ELEK;3136;718;;;F
ELEMÉR;4987;1057;;;F
ELIZABET;;;127;35;N
EMESE;15486;2668;321;66;N
EMIL;3981;903;;;F
EMMA;10977;1518;238;68;N
ENDRE;14834;3189;;;F
ENIKÕ;23425;2524;345;54;N
ERIK;7304;1324;346;65;F
ERIKA;84422;8709;152;95;N
ERNÕ;17121;2980;;;F
ERVIN;5265;832;;;F
ERZSÉBET;335246;42842;;;N
ESZTER;64441;10925;898;239;N
ETELKA;29759;4597;;;N
ÉVA;187157;29711;147;211;N
EVELIN;9032;1132;539;99;N
FANNI;14317;2167;924;164;N
FERENC;192402;29757;415;308;F
FLÓRA;;;285;101;N
FLÓRIÁN;;;61;21;F
FRIGYES;2328;705;;;F
FRUZSINA;;;258;44;N
GÁBOR;164742;23276;836;367;F
GABRIELLA;58754;7969;164;87;N
GERGELY;26212;3528;419;78;F
GERGÕ;24222;3086;1162;139;F
GÉZA;28604;6227;;;F
GIZELLA;45651;6541;;;N
GRÉTA;;;459;69;N
GUSZTÁV;5354;1106;;;F
GYÖNGYI;25486;3760;;;N
GYÖRGY;92568;19608;189;175;F
GYÖRGYI;13074;1930;;;N
